,start,end,name
0,2023-01-02,2023-01-02,제2학기 성적정정 마감
1,2023-01-03,2023-01-03,제2학기 성적제출 마감
2,2023-01-10,2023-01-24,제1학기 강의계획서 입력
3,2023-01-24,2023-01-24,동계 계절학기 성적제출 마감
4,2023-01-26,2023-01-26,2023년도 전기 일반대학원 종합시험
5,2023-01-27,2023-01-27,2023년도 전기 일반대학원 외국어시험
6,2023-02-01,2023-02-14,제1학기 대학원 수료후 등록생 신청
7,2023-02-07,2023-02-07,2022학년도 후기 석?박사학위청구논문 제출 일정 공고
8,2023-02-09,2023-02-10,수강희망과목 예약
9,2023-02-13,2023-03-03,2023년도 전기 일반대학원 지도교수 배정
10,2023-02-14,2023-02-14,제1학기 수강신청(4학년)
11,2023-02-15,2023-02-15,제1학기 수강신청(3학년)
12,2023-02-16,2023-02-16,제1학기 수강신청(2학년)
13,2023-02-17,2023-02-17,제1학기 수강신청(1학년)
14,2023-02-20,2023-02-23,제1학기 등록 및 수료후 등록
15,2023-02-20,2023-02-21,제1학기 수강신청(전학년 공통)
16,2023-02-24,2023-02-24,2022학년도 전기 학위수여식
17,2023-03-02,2023-03-08,제1학기 수강신청 정정
18,2023-03-02,2023-03-02,제1학기 개강
19,2023-03-02,2023-03-02,2023학년도 입학식
20,2023-03-20,2023-03-24,2022학년도 후기 박사학위수여예정자 학위청구논문(심사용) 접수
21,2023-03-27,2023-03-31,2022학년도 후기 석사학위수여예정자 학위청구논문(심사용) 접수
22,2023-03-28,2023-03-28,제1학기 수업일수 1/4
23,2023-04-03,2023-04-07,2023학년도 전기 석·박사 학위수여예정자 학위청구논문 작성계획서 접수
24,2023-04-10,2023-04-21,제1학기 중간 수업평가
25,2023-04-17,2023-04-21,제1학기 중간고사
26,2023-04-24,2023-04-24,제1학기 수업일수 2/4
27,2023-05-01,2023-05-01,근로자의 날(휴업)
28,2023-05-23,2023-05-23,제1학기 수업일수 3/4
29,2023-06-08,2023-06-08,자체보강일
30,2023-06-09,2023-06-09,개교기념일(휴업)
31,2023-06-12,2023-06-12,5. 5.(금) 어린이날 보강 
32,2023-06-13,2023-06-13,6. 6.(화) 현충일 보강
33,2023-06-14,2023-06-14,5. 1.(월) 근로자의 날 보강
34,2023-06-15,2023-06-15,5. 29.(월) 부처님 오신 날 보강
35,2023-06-16,2023-06-22,제1학기 기말고사
36,2023-06-16,2023-07-10,제1학기 교수수업개선서(CQI) 입력
37,2023-06-16,2023-07-03,제1학기 최종 수업평가
38,2023-06-19,2023-06-23,2022학년도 후기 석·박사학위수여예정자 논문심사 결과 보고
39,2023-06-22,2023-06-22,제1학기 종강
40,2023-06-22,2023-06-22,제1학기 성적공고
41,2023-06-26,2023-07-20,하계 계절학기
42,2023-06-27,2023-06-27,제1학기 성적공고 마감
43,2023-06-30,2023-06-30,제1학기 성적정정 마감
44,2023-07-03,2023-07-03,제1학기 성적제출 마감
45,2023-07-10,2023-07-24,제2학기 수업계획서 입력
46,2023-07-26,2023-07-26,2023년도 후기 일반대학원 종합시험
47,2023-07-27,2023-07-27,하계 계절학기 성적제출 마감
48,2023-07-27,2023-07-27,2023년도 후기 일반대학원 외국어시험
49,2023-08-01,2023-08-02,수강희망과목 예약
50,2023-08-01,2023-08-01,2023학년도 전기 석·박사학위청구논문 제출 일정 공고
51,2023-08-02,2023-08-16,제2학기 대학원 수료후 등록생 신청
52,2023-08-04,2023-08-04,제2학기 수강신청(4학년)
53,2023-08-07,2023-08-07,제2학기 수강신청(3학년)
54,2023-08-08,2023-08-08,제2학기 수강신청(2학년)
55,2023-08-09,2023-08-09,제2학기 수강신청(1학년)
56,2023-08-10,2023-08-11,제2학기 수강신청(전학년 공통)
57,2023-08-16,2023-09-01,2023년도 후기 일반대학원 지도교수 배정
58,2023-08-22,2023-08-25,제2학기 등록 및 수료후 등록
59,2023-08-25,2023-08-25,2022학년도 후기 학위수여식
60,2023-09-01,2023-09-07,제2학기 수강신청 정정
61,2023-09-01,2023-09-01,제2학기 개강
62,2023-09-25,2023-10-02,2023학년도 전기 박사학위수여예정자 학위청구논문(심사용) 접수
63,2023-09-27,2023-09-27,제2학기 수업일수 1/4
64,2023-10-02,2023-10-06,2023학년도 전기 석사학위수여예정자 학위청구논문(심사용) 접수
65,2023-10-10,2023-10-13,2023학년도 후기 석·박사학위수여예정자 학위청구논문 작성계획서 접수
66,2023-10-16,2023-10-27,제2학기 중간 수업평가
67,2023-10-23,2023-10-27,제2학기 중간고사
68,2023-10-30,2023-10-30,제2학기 수업일수 2/4
69,2023-11-24,2023-11-24,제2학기 수업일수 3/4
70,2023-12-07,2023-12-07,9. 28.(목) 추석연휴 보강
71,2023-12-08,2023-12-08,9. 29.(금) 추석연휴 보강
72,2023-12-11,2023-12-11,자체보강일
73,2023-12-12,2023-12-12,10. 3.(화) 개천절 보강
74,2023-12-13,2023-12-13,10. 9.(월) 한글날 보강
75,2023-12-15,2023-12-21,제2학기 기말고사
76,2023-12-15,2024-01-10,제2학기 교수수업개선서(CQI) 입력
77,2023-12-15,2024-01-03,제2학기 최종 수업평가
